type;geometry/type;geometry/coordinates/0;geometry/coordinates/1;properties/campaign;properties/tubeId;properties/resultId;properties/value;properties/link;properties/group;properties/city;properties/height;properties/trafic;properties/info;properties/ostation;properties/remark;properties/address;properties/country;properties/year;properties/institut;properties/start;properties/stop
Feature;Point;23.3321277;42.7053926;DUH;;;50.50;;;Sofia ;;;Gemessen in Zusamenarbeit mit Foundation Code: Bulgaria;;;bul. Slivnitsa 303;Bulgarien;2019;Messungen in Bulgarien 2019;28.08.2019;26.09.2019
Feature;Point;23.3125434;42.7077117;DUH;;;41.50;;;Sofia ;;;Gemessen in Zusamenarbeit mit Foundation Code: Bulgaria;;;ul. Kozloduy ?108;Bulgarien;2019;Messungen in Bulgarien 2019;28.08.2019;26.09.2019
Feature;Point;23.3109025;42.714047;DUH;;;39.90;;;Sofia ;;;Gemessen in Zusamenarbeit mit Foundation Code: Bulgaria;;;bul.Knyaginya Maria Luiza 193;Bulgarien;2019;Messungen in Bulgarien 2019;28.08.2019;26.09.2019
Feature;Point;23.3107712;42.7318852;DUH;;;19.80;;;Sofia ;;;Gemessen in Zusamenarbeit mit Foundation Code: Bulgaria;;;ul. Republika ?70 AIS - Nadezhda;Bulgarien;2019;Messungen in Bulgarien 2019;28.08.2019;26.09.2019
Feature;Point;23.317174;42.659452;DUH;;;50.20;;;Sofia ;;;Gemessen in Zusamenarbeit mit Foundation Code: Bulgaria;;;bul. Cherni Vrah ?51;Bulgarien;2019;Messungen in Bulgarien 2019;29.08.2019;27.09.2019
Feature;Point;23.2983312;42.6646742;DUH;;;46.90;;;Sofia ;;;Gemessen in Zusamenarbeit mit Foundation Code: Bulgaria;;;ul. Kostenski vodopad 59;Bulgarien;2019;Messungen in Bulgarien 2019;29.08.2019;27.09.2019
Feature;Point;23.400168;42.666516;DUH;;;18.30;;;Sofia ;;;Gemessen in Zusamenarbeit mit Foundation Code: Bulgaria;;;bul. Krastyu Pastuhov ?18 AIS - Druzhba;Bulgarien;2019;Messungen in Bulgarien 2019;29.08.2019;27.09.2019
Feature;Point;14.5428358;46.0198579;DUH;;;30.40;;;Ljubljana;;;Gemessen in Zusammenarbeit mit Focus- Gesellschaft für nachhaltige Entwicklung (Focus, društvo za sonaraven razvoj);;;Dolenjska cesta pri AP Rudnik;Slowenien;2021;Messungen in Slovenien;01.02.2021;22.02.2021
Feature;Point;14.5359422;46.0221783;DUH;;;26.80;;;Ljubljana;;;Gemessen in Zusammenarbeit mit Focus- Gesellschaft für nachhaltige Entwicklung (Focus, društvo za sonaraven razvoj);;;Jurèkova Cesta 223;Slowenien;2021;Messungen in Slovenien;01.02.2021;22.02.2021
Feature;Point;14.4544714;46.0236979;DUH;;;30.90;;;Ljubljana;;;Gemessen in Zusammenarbeit mit Focus- Gesellschaft für nachhaltige Entwicklung (Focus, društvo za sonaraven razvoj);;;Križišèe med Dvorakovo in Slovensko;Slowenien;2021;Messungen in Slovenien;01.02.2021;22.02.2021
Feature;Point;14.5284242;46.0266862;DUH;;;29.00;;;Ljubljana;;;Gemessen in Zusammenarbeit mit Focus- Gesellschaft für nachhaltige Entwicklung (Focus, društvo za sonaraven razvoj);;;križišèe Peruzzijeva ulica Jurèkova cesta;Slowenien;2021;Messungen in Slovenien;01.02.2021;22.02.2021
Feature;Point;14.4940815;46.0267695;DUH;;;29.00;;;Ljubljana;;;Gemessen in Zusammenarbeit mit Focus- Gesellschaft für nachhaltige Entwicklung (Focus, društvo za sonaraven razvoj);;;Levarjeva ulica 105;Slowenien;2021;Messungen in Slovenien;01.02.2021;22.02.2021
Feature;Point;14.5348906;46.0282997;DUH;;;23.00;;;Ljubljana;;;Gemessen in Zusammenarbeit mit Focus- Gesellschaft für nachhaltige Entwicklung (Focus, društvo za sonaraven razvoj);;;Dolenjska cesta 222;Slowenien;2021;Messungen in Slovenien;01.02.2021;22.02.2021
Feature;Point;14.4492979;46.0324687;DUH;;;22.70;;;Ljubljana;;;Gemessen in Zusammenarbeit mit Focus- Gesellschaft für nachhaltige Entwicklung (Focus, društvo za sonaraven razvoj);;;Tržaška cesta 279;Slowenien;2021;Messungen in Slovenien;01.02.2021;22.02.2021
Feature;Point;14.5125596;46.0334529;DUH;;;22.40;;;Ljubljana;;;Gemessen in Zusammenarbeit mit Focus- Gesellschaft für nachhaltige Entwicklung (Focus, društvo za sonaraven razvoj);;;križišèe Ižanska Jurèkova cesta;Slowenien;2021;Messungen in Slovenien;01.02.2021;22.02.2021
Feature;Point;14.503658;46.0340325;DUH;;;19.50;;;Ljubljana;;;Gemessen in Zusammenarbeit mit Focus- Gesellschaft für nachhaltige Entwicklung (Focus, društvo za sonaraven razvoj);;;Ulica Dušana Kraigherja 2;Slowenien;2021;Messungen in Slovenien;01.02.2021;22.02.2021
Feature;Point;14.5220604;46.0340466;DUH;;;14.10;;;Ljubljana;;;Gemessen in Zusammenarbeit mit Focus- Gesellschaft für nachhaltige Entwicklung (Focus, društvo za sonaraven razvoj);;;Ob dolenjski železnici 48;Slowenien;2021;Messungen in Slovenien;01.02.2021;22.02.2021
Feature;Point;14.4616468;46.0355828;DUH;;;44.10;;;Ljubljana;;;Gemessen in Zusammenarbeit mit Focus- Gesellschaft für nachhaltige Entwicklung (Focus, društvo za sonaraven razvoj);;;Tržaška cesta Cesta v Gorice;Slowenien;2021;Messungen in Slovenien;01.02.2021;22.02.2021
Feature;Point;14.4616468;46.0355828;DUH;;;40.50;;;Ljubljana;;;Gemessen in Zusammenarbeit mit Focus- Gesellschaft für nachhaltige Entwicklung (Focus, društvo za sonaraven razvoj);;;Tržaška cesta Cesta v Gorice;Slowenien;2021;Messungen in Slovenien;01.02.2021;22.02.2021
Feature;Point;14.4525322;46.0366195;DUH;;;23.70;;;Ljubljana;;;Gemessen in Zusammenarbeit mit Focus- Gesellschaft für nachhaltige Entwicklung (Focus, društvo za sonaraven razvoj);;;Ulica Lili Novy 58;Slowenien;2021;Messungen in Slovenien;01.02.2021;22.02.2021
Feature;Point;14.4758361;46.0376686;DUH;;;35.10;;;Ljubljana;;;Gemessen in Zusammenarbeit mit Focus- Gesellschaft für nachhaltige Entwicklung (Focus, društvo za sonaraven razvoj);;;Tbilisijska ulica 63;Slowenien;2021;Messungen in Slovenien;01.02.2021;22.02.2021
Feature;Point;14.4997228;46.0380941;DUH;;;31.20;;;Ljubljana;;;Gemessen in Zusammenarbeit mit Focus- Gesellschaft für nachhaltige Entwicklung (Focus, društvo za sonaraven razvoj);;;križišèe Barjanska cesta Cesta v mestni log;Slowenien;2021;Messungen in Slovenien;01.02.2021;22.02.2021
Feature;Point;14.4933132;46.0382956;DUH;;;33.00;;;Ljubljana;;;Gemessen in Zusammenarbeit mit Focus- Gesellschaft für nachhaltige Entwicklung (Focus, društvo za sonaraven razvoj);;;Cesta v Mestni log 46;Slowenien;2021;Messungen in Slovenien;01.02.2021;22.02.2021
Feature;Point;14.4996814;46.0391175;DUH;;;25.10;;;Ljubljana;;;Gemessen in Zusammenarbeit mit Focus- Gesellschaft für nachhaltige Entwicklung (Focus, društvo za sonaraven razvoj);;;križišèe Barjanska cesta Riharjeva ulica;Slowenien;2021;Messungen in Slovenien;01.02.2021;22.02.2021
Feature;Point;14.4996814;46.0391175;DUH;;;29.10;;;Ljubljana;;;Gemessen in Zusammenarbeit mit Focus- Gesellschaft für nachhaltige Entwicklung (Focus, društvo za sonaraven razvoj);;;križišèe Barjanska cesta Riharjeva ulica;Slowenien;2021;Messungen in Slovenien;01.02.2021;22.02.2021
Feature;Point;14.4932826;46.0393258;DUH;;;21.90;;;Ljubljana;;;Gemessen in Zusammenarbeit mit Focus- Gesellschaft für nachhaltige Entwicklung (Focus, društvo za sonaraven razvoj);;;Rezijanska ulica 22;Slowenien;2021;Messungen in Slovenien;01.02.2021;22.02.2021
Feature;Point;14.4741216;46.0404562;DUH;;;37.30;;;Ljubljana;;;Gemessen in Zusammenarbeit mit Focus- Gesellschaft für nachhaltige Entwicklung (Focus, društvo za sonaraven razvoj);;;Tržaška cesta & Tbilisijska ulica;Slowenien;2021;Messungen in Slovenien;01.02.2021;22.02.2021
Feature;Point;14.4741216;46.0404562;DUH;;;36.10;;;Ljubljana;;;Gemessen in Zusammenarbeit mit Focus- Gesellschaft für nachhaltige Entwicklung (Focus, društvo za sonaraven razvoj);;;Tržaška cesta & Tbilisijska ulica;Slowenien;2021;Messungen in Slovenien;01.02.2021;22.02.2021
Feature;Point;14.5009863;46.040649;DUH;;;22.70;;;Ljubljana;;;Gemessen in Zusammenarbeit mit Focus- Gesellschaft für nachhaltige Entwicklung (Focus, društvo za sonaraven razvoj);;;Ziherlova ulica 8;Slowenien;2021;Messungen in Slovenien;01.02.2021;22.02.2021
Feature;Point;14.4714723;46.0419696;DUH;;;19.70;;;Ljubljana;;;Gemessen in Zusammenarbeit mit Focus- Gesellschaft für nachhaltige Entwicklung (Focus, društvo za sonaraven razvoj);;;Viška cesta 29;Slowenien;2021;Messungen in Slovenien;01.02.2021;22.02.2021
Feature;Point;14.5752425;46.0436426;DUH;;;30.50;;;Ljubljana;;;Gemessen in Zusammenarbeit mit Focus- Gesellschaft für nachhaltige Entwicklung (Focus, društvo za sonaraven razvoj);;;Litijska cesta 213;Slowenien;2021;Messungen in Slovenien;01.02.2021;22.02.2021
Feature;Point;14.5113873;46.0437137;DUH;;;39.10;;;Ljubljana;;;Gemessen in Zusammenarbeit mit Focus- Gesellschaft für nachhaltige Entwicklung (Focus, društvo za sonaraven razvoj);;;Karlovška cesta 18;Slowenien;2021;Messungen in Slovenien;01.02.2021;22.02.2021
Feature;Point;14.4849158;46.0437509;DUH;;;34.80;;;Ljubljana;;;Gemessen in Zusammenarbeit mit Focus- Gesellschaft für nachhaltige Entwicklung (Focus, društvo za sonaraven razvoj);;;Tržaška cesta 47a;Slowenien;2021;Messungen in Slovenien;01.02.2021;22.02.2021
Feature;Point;14.4543688;46.0444969;DUH;;;16.50;;;Ljubljana;;;Gemessen in Zusammenarbeit mit Focus- Gesellschaft für nachhaltige Entwicklung (Focus, društvo za sonaraven razvoj);;;Cesta na Bokalce 1;Slowenien;2021;Messungen in Slovenien;01.02.2021;22.02.2021
Feature;Point;14.5098545;46.0447259;DUH;;;35.50;;;Ljubljana;;;Gemessen in Zusammenarbeit mit Focus- Gesellschaft für nachhaltige Entwicklung (Focus, društvo za sonaraven razvoj);;;križišèe Predor pod Gradom Karlovška cesta;Slowenien;2021;Messungen in Slovenien;01.02.2021;22.02.2021
Feature;Point;14.4622004;46.0450255;DUH;;;23.50;;;Ljubljana;;;Gemessen in Zusammenarbeit mit Focus- Gesellschaft für nachhaltige Entwicklung (Focus, društvo za sonaraven razvoj);;;Pot Rdeèega križa (Ježkova ulica);Slowenien;2021;Messungen in Slovenien;01.02.2021;22.02.2021
Feature;Point;14.5598352;46.0453782;DUH;;;27.20;;;Ljubljana;;;Gemessen in Zusammenarbeit mit Focus- Gesellschaft für nachhaltige Entwicklung (Focus, društvo za sonaraven razvoj);;;križišèe Litijska cesta Fužinska cesta;Slowenien;2021;Messungen in Slovenien;01.02.2021;22.02.2021
Feature;Point;14.4921089;46.045673;DUH;;;26.40;;;Ljubljana;;;Gemessen in Zusammenarbeit mit Focus- Gesellschaft für nachhaltige Entwicklung (Focus, društvo za sonaraven razvoj);;;Langusova 4;Slowenien;2021;Messungen in Slovenien;01.02.2021;22.02.2021
Feature;Point;14.5036438;46.0459529;DUH;;;34.50;;;Ljubljana;;;Gemessen in Zusammenarbeit mit Focus- Gesellschaft für nachhaltige Entwicklung (Focus, društvo za sonaraven razvoj);;;Zoisova cesta;Slowenien;2021;Messungen in Slovenien;01.02.2021;22.02.2021
Feature;Point;14.5064958;46.0460208;DUH;;;37.00;;;Ljubljana;;;Gemessen in Zusammenarbeit mit Focus- Gesellschaft für nachhaltige Entwicklung (Focus, društvo za sonaraven razvoj);;;Levstikov trg 4;Slowenien;2021;Messungen in Slovenien;01.02.2021;22.02.2021
Feature;Point;14.4683712;46.0460702;DUH;;;18.70;;;Ljubljana;;;Gemessen in Zusammenarbeit mit Focus- Gesellschaft für nachhaltige Entwicklung (Focus, društvo za sonaraven razvoj);;;Cesta na Brdo 71;Slowenien;2021;Messungen in Slovenien;01.02.2021;22.02.2021
Feature;Point;14.5193132;46.0461783;DUH;;;40.10;;;Ljubljana;;;Gemessen in Zusammenarbeit mit Focus- Gesellschaft für nachhaltige Entwicklung (Focus, društvo za sonaraven razvoj);;;Roška cesta 2;Slowenien;2021;Messungen in Slovenien;01.02.2021;22.02.2021
Feature;Point;14.5001974;46.0467202;DUH;;;33.50;;;Ljubljana;;;Gemessen in Zusammenarbeit mit Focus- Gesellschaft für nachhaltige Entwicklung (Focus, društvo za sonaraven razvoj);;;Aškerèeva cesta 2;Slowenien;2021;Messungen in Slovenien;01.02.2021;22.02.2021
Feature;Point;14.5001974;46.0467202;DUH;;;32.70;;;Ljubljana;;;Gemessen in Zusammenarbeit mit Focus- Gesellschaft für nachhaltige Entwicklung (Focus, društvo za sonaraven razvoj);;;Aškerèeva cesta 2;Slowenien;2021;Messungen in Slovenien;01.02.2021;22.02.2021
Feature;Point;14.5179186;46.0468223;DUH;;;22.10;;;Ljubljana;;;Gemessen in Zusammenarbeit mit Focus- Gesellschaft für nachhaltige Entwicklung (Focus, društvo za sonaraven razvoj);;;Zemljemerska ulica 9;Slowenien;2021;Messungen in Slovenien;01.02.2021;22.02.2021
Feature;Point;14.4955915;46.0471605;DUH;;;46.50;;;Ljubljana;;;Gemessen in Zusammenarbeit mit Focus- Gesellschaft für nachhaltige Entwicklung (Focus, društvo za sonaraven razvoj);;;Trg mladinskih delovnih brigad 8;Slowenien;2021;Messungen in Slovenien;01.02.2021;22.02.2021
Feature;Point;14.4955915;46.0471605;DUH;;;42.40;;;Ljubljana;;;Gemessen in Zusammenarbeit mit Focus- Gesellschaft für nachhaltige Entwicklung (Focus, društvo za sonaraven razvoj);;;Trg mladinskih delovnih brigad 8;Slowenien;2021;Messungen in Slovenien;01.02.2021;22.02.2021
Feature;Point;14.5009913;46.0471862;DUH;;;34.80;;;Ljubljana;;;Gemessen in Zusammenarbeit mit Focus- Gesellschaft für nachhaltige Entwicklung (Focus, društvo za sonaraven razvoj);;;Slovenska cesta 3 (Rimska cesta);Slowenien;2021;Messungen in Slovenien;01.02.2021;22.02.2021
Feature;Point;14.5009913;46.0471862;DUH;;;35.40;;;Ljubljana;;;Gemessen in Zusammenarbeit mit Focus- Gesellschaft für nachhaltige Entwicklung (Focus, društvo za sonaraven razvoj);;;Slovenska cesta 3 (Rimska cesta);Slowenien;2021;Messungen in Slovenien;01.02.2021;22.02.2021
Feature;Point;14.4620418;46.0478343;DUH;;;28.70;;;Ljubljana;;;Gemessen in Zusammenarbeit mit Focus- Gesellschaft für nachhaltige Entwicklung (Focus, društvo za sonaraven razvoj);;;Cesta na Brdo 100;Slowenien;2021;Messungen in Slovenien;01.02.2021;22.02.2021
Feature;Point;14.5440019;46.0482793;DUH;;;21.80;;;Ljubljana;;;Gemessen in Zusammenarbeit mit Focus- Gesellschaft für nachhaltige Entwicklung (Focus, društvo za sonaraven razvoj);;;Parmska cesta 2;Slowenien;2021;Messungen in Slovenien;01.02.2021;22.02.2021
Feature;Point;14.4998774;46.0484697;DUH;;;25.70;;;Ljubljana;;;Gemessen in Zusammenarbeit mit Focus- Gesellschaft für nachhaltige Entwicklung (Focus, društvo za sonaraven razvoj);;;križišèe Gregorèièeva ulica Igriška ulica;Slowenien;2021;Messungen in Slovenien;01.02.2021;22.02.2021
Feature;Point;14.5197208;46.0488868;DUH;;;31.00;;;Ljubljana;;;Gemessen in Zusammenarbeit mit Focus- Gesellschaft für nachhaltige Entwicklung (Focus, društvo za sonaraven razvoj);;;Križišèe Poljanska Roška;Slowenien;2021;Messungen in Slovenien;01.02.2021;22.02.2021
Feature;Point;14.5197208;46.0488868;DUH;;;30.20;;;Ljubljana;;;Gemessen in Zusammenarbeit mit Focus- Gesellschaft für nachhaltige Entwicklung (Focus, društvo za sonaraven razvoj);;;Križišèe Poljanska Roška;Slowenien;2021;Messungen in Slovenien;01.02.2021;22.02.2021
Feature;Point;14.5232601;46.0489026;DUH;;;30.60;;;Ljubljana;;;Gemessen in Zusammenarbeit mit Focus- Gesellschaft für nachhaltige Entwicklung (Focus, društvo za sonaraven razvoj);;;Križišèe Poljanska cesta Potoènikova ulica;Slowenien;2021;Messungen in Slovenien;01.02.2021;22.02.2021
Feature;Point;14.4506043;46.0491139;DUH;;;23.90;;;Ljubljana;;;Gemessen in Zusammenarbeit mit Focus- Gesellschaft für nachhaltige Entwicklung (Focus, društvo za sonaraven razvoj);;;Cesta na Bokalce;Slowenien;2021;Messungen in Slovenien;01.02.2021;22.02.2021
Feature;Point;14.487861;46.04942;DUH;;;21.50;;;Ljubljana;;;Gemessen in Zusammenarbeit mit Focus- Gesellschaft für nachhaltige Entwicklung (Focus, društvo za sonaraven razvoj);;;križišèe Škrabèeva ulica Levèeva ulica;Slowenien;2021;Messungen in Slovenien;01.02.2021;22.02.2021
Feature;Point;14.4974415;46.0497279;DUH;;;37.30;;;Ljubljana;;;Gemessen in Zusammenarbeit mit Focus- Gesellschaft für nachhaltige Entwicklung (Focus, društvo za sonaraven razvoj);;;Prešernova cesta 15;Slowenien;2021;Messungen in Slovenien;01.02.2021;22.02.2021
Feature;Point;14.5162453;46.050016;DUH;;;26.40;;;Ljubljana;;;Gemessen in Zusammenarbeit mit Focus- Gesellschaft für nachhaltige Entwicklung (Focus, društvo za sonaraven razvoj);;;Poljanska cesta (Rozmanova cesta);Slowenien;2021;Messungen in Slovenien;01.02.2021;22.02.2021
Feature;Point;14.5101422;46.0502092;DUH;;;32.70;;;Ljubljana;;;Gemessen in Zusammenarbeit mit Focus- Gesellschaft für nachhaltige Entwicklung (Focus, društvo za sonaraven razvoj);;;Krekov trg 2;Slowenien;2021;Messungen in Slovenien;01.02.2021;22.02.2021
